image_1,image_2,distance
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doggy25.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/fish14.jpg,0.804
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bunny10.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/duck12.jpg,0.628
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/pacifier5.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair10.jpg,0.715
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/flower.jpg,0.625
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/duck12.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bunny10.jpg,0.628
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puzzle.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water.jpg,0.95
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/flower8.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball64.jpg,0.637
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/paci3.jpg,0.774
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water30.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puzzle9.jpg,0.825
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bunny.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/duck.jpg,0.608
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puzzle9.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water30.jpg,0.825
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/duck.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bunny.jpg,0.608
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball64.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/flower8.jpg,0.637
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puzzle.jpg,0.95
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair10.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/pacifier5.jpg,0.715
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/flower.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,0.625
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/paci3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair.jpg,0.774
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog24.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cat17.jpg,0.537
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball68.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon20.jpg,0.823
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/hat.jpg,0.875
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cat17.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog24.jpg,0.537
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/pacifier.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water.jpg,0.863
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/hat8.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book82.jpg,0.742
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,0.764
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water31.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/pacifier6.jpg,0.741
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cat2.jpg,0.573
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/pacifier6.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water31.jpg,0.741
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cat2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/dog.jpg,0.573
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book82.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/hat8.jpg,0.742
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/water.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/pacifier.jpg,0.863
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon20.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball68.jpg,0.823
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/hat.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.875
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon.jpg,0.764
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle26.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper15.jpg,0.578
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cup21.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book83.jpg,0.934
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/lion.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/frog.jpg,0.628
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/block.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,0.837
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper15.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle26.jpg,0.578
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/frog.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/lion.jpg,0.628
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/lion7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/frog8.jpg,0.849
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper.jpg,0.602
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball69.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/block9.jpg,0.776
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book83.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cup21.jpg,0.934
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle.jpg,0.602
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/frog8.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/lion7.jpg,0.849
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/block.jpg,0.837
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/block9.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball69.jpg,0.776
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball70.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe20.jpg,0.82
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon21.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks21.jpg,0.848
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone7.jpg,0.788
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe20.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball70.jpg,0.82
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/paci.jpg,0.757
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone18.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book84.jpg,0.834
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon.jpg,0.791
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/paci8.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk17.jpg,0.565
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,0.853
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk17.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/paci8.jpg,0.565
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,0.853
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book84.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone18.jpg,0.834
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/paci.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/milk.jpg,0.757
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks21.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon21.jpg,0.848
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/phone7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.788
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks2.jpg,0.791
