image_1,image_2,distance
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/stroller4.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks16.jpg,0.787
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cow.jpg,0.651
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book63.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon14.jpg,0.786
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe11.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair3.jpg,0.769
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cow.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy3.jpg,0.651
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/blocks16.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/stroller4.jpg,0.787
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon.jpg,0.883
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair.jpg,0.705
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/spoon14.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book63.jpg,0.786
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe10.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle16.jpg,0.757
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/horse8.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/owl8.jpg,0.619
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tiger.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/monkey.jpg,0.742
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/whale2.jpg,0.887
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bottle16.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe10.jpg,0.757
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/monkey.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/tiger.jpg,0.742
